uuid,ich_public_ref,inscription_year,title_en,countries,type_acronym,type_of_element_en,concepts_primary_names,concepts_secondary_names,http_url_en
076fd7ab-2db1-44b8-b168-27635af0d024,3,2008,Carnival of Oruro,BO,RL,Representative List,Carnival; Procession; Religious practice,Colonial history; Costumes; Dance; Drama; Embroidery; Handicrafts; Instrumental music; Masks; Mining; Religious syncretism; Rituals; Sacred sites; Woodwind instruments,https://ich.unesco.org/en/RL/00003
5578fb32-b58d-49b0-9a6e-317b2fdb162d,4,2008,Kun Qu opera,CN,RL,Representative List,Opera; Performing arts; Vocal music,Choreography; Costumes; Cultural elite; Dance; Emotions; Idiophones; Percussion instruments; Representative literary works; Theatre; Woodwind instruments,https://ich.unesco.org/en/RL/00004
6d0c87bb-9707-4632-9b05-ec6a05adc435,5,2008,"Gbofe of Afounkaha, the music of the transverse trumps of the Tagbana community",CI,RL,Representative List,Dance; Instrumental music; Wind instruments,Apprenticeship; Choir singing; Emotions; Instrument making; Leather; Life cycle; Oral tradition; Percussion instruments; Rituals; Vocal music; Woodworking,https://ich.unesco.org/en/RL/00005
724e5d5a-1708-4dab-ac61-3dd527d999a6,6,2008,Cultural space of the Brotherhood of the Holy Spirit of the Congos of Villa Mella,DO,RL,Representative List,Cultural space; Percussion instruments; Religious practice; Vocal music,Colonial history; Dance; Feasts; Fraternity; Funeral; Instrumental music; Music education; Procession; Slavery,https://ich.unesco.org/en/RL/00006
71b3de3a-a98e-4a16-89e5-049c05aab30f,15,2008,Hudhud chants of the Ifugao,PH,RL,Representative List,Epic poetry; Oral tradition; Vocal music,Catholicism; Choir singing; Customary law; Funeral; Instrumental music; Legends; Matriarchy; Religious belief; Story telling; Work songs,https://ich.unesco.org/en/RL/00015
1e2e1f80-32b4-423a-8aa8-8ddb7ffb4bfc,42,2008,Kihnu cultural space,EE,RL,Representative List,Cultural space; Vocal music,Costumes; Dance; Embroidery; Handicrafts; Instrumental music; Oral tradition; Textile arts; Weaving; Wedding; Womens participation,https://ich.unesco.org/en/RL/00042
92872cc1-2506-4669-a137-e96bc2b6da46,51,2008,Carnival of Barranquilla,CO,RL,Representative List,Carnival; Dance; Procession,Colonial history; Costumes; Festivals; Float; Handicrafts; Instrumental music; Masks; Multiethnic societies; Percussion instruments; Performing arts; Religious practice; Satire; Wind instruments,https://ich.unesco.org/en/RL/00051
4c577f97-b985-4ebf-a28b-523712a5f7e9,53,2008,Maroon heritage of Moore Town,JM,RL,Representative List,Cultural space; Slavery,Armed forces; Colonial history; Dance; Instrumental music; Oral tradition; Percussion instruments; Religious belief; Religious syncretism; Traditional medicine; Veneration of the dead; Vocal music; Wind instruments,https://ich.unesco.org/en/RL/00053
74762b56-b55f-4d9d-87e1-837e6f281a35,61,2008,Guqin and its music,CN,RL,Representative List,Instrumental music; Musical instruments; Plucked string instruments,Apprenticeship; Cultural elite; Instrument making; Music education; Wood carving,https://ich.unesco.org/en/RL/00061
de7c8c5f-fc36-4ca2-9039-99179da3aa9d,62,2008,Tradition of Vedic chanting,IN,RL,Representative List,Oral tradition; Religious belief; Representative literary works; Vocal music,Clergy; Hinduism; Mathematics; Offering; Oral history; Philosophy; Phonetics; Poetry; Religious practice; Rituals,https://ich.unesco.org/en/RL/00062
97dbdd77-48c3-48d8-99f4-efd906b11a81,65,2008,"Art of Akyns, Kyrgyz epic tellers",KG,RL,Representative List,Epic poetry; Oral tradition; Vocal music,Apprenticeship; Bard; Improvisation; Legends; Nomads; Philosophy; Plucked string instruments; Rituals; Social values; Story telling,https://ich.unesco.org/en/RL/00065
947d787e-99e0-4485-aa35-e2513057ad39,73,2008,Vanuatu sand drawings,VU,RL,Representative List,Drawing; Nonverbal communication,Aesthetics; Choreography; Geometry; Improvisation; Know-how transfer; Memorization; Mythology; Oral tradition; Pattern; Rituals; Symbols; Technical skills,https://ich.unesco.org/en/RL/00073
b4eab1a1-32a2-4535-9982-7c9a7603ff1a,75,2008,Al-Sirah Al-Hilaliyyah epic,EG,RL,Representative List,Epic poetry; Vocal music,Apprenticeship; Circumcision; Improvisation; Instrumental music; Memorization; Oral history; Oral tradition; Percussion instruments; Story telling; String instruments; Wedding,https://ich.unesco.org/en/RL/00075
80a833a9-2b4f-469b-b8ba-1c7a72917b63,76,2008,Iraqi Maqam,IQ,RL,Representative List,Instrumental music; Orchestras; Vocal music,Bowed string instruments; Cultural elite; Idiophones; Improvisation; Percussion instruments; Plucked string instruments; Poetry; Prose; Urban spaces,https://ich.unesco.org/en/RL/00076
9d6c672a-7966-422a-ba02-b8afc31f3e8d,82,2008,Polyphonic singing of the Aka Pygmies of Central Africa,CF,RL,Representative List,Polyphonic singing; Rituals; Vocal music,Body percussion; Choreography; Funeral; Human settlements; Improvisation; Instrumental music; Know-how transfer; Oral tradition; Percussion instruments; Ritual dance; Social values; String instruments,https://ich.unesco.org/en/RL/00082
57c1822d-eda6-4dc4-beae-a52e41975c56,92,2008,Duduk and its music,AM,RL,Representative List,Instrumental music; Woodwind instruments,Circular breathing; Craft workers; Dance; Emotions; Festivals; Funeral; Improvisation; Instrument making; Vocal music; Wedding; Wood carving,https://ich.unesco.org/en/RL/00092
c157a006-72a3-4a51-a3aa-40591a12f339,95,2008,"Bistritsa Babi, archaic polyphony, dances and rituals from the Shoplouk region",BG,RL,Representative List,Dance; Polyphonic singing; Vocal music,Choreography; Costumes; Initiation rites; Vocabularies,https://ich.unesco.org/en/RL/00095
a614d325-b56b-48e5-b662-254822df9416,102,2008,Cultural space of Palenque de San Basilio,CO,RL,Representative List,Cultural space; Slavery; Socio-cultural practices,Colonial history; Dance; Family; Festivals; Funeral; Instrumental music; Local languages; Oral tradition; Spiritualism; Traditional medicine; Wedding; Women students,https://ich.unesco.org/en/RL/00102
000bbb2a-6d0a-468d-b287-91f39613d3a9,104,2008,Cocolo dance drama tradition,DO,RL,Representative List,Dance; Theatre,Carnival; Colonial history; Costumes; Drama; Festivals; Instrumental music; Legends; Local languages; Masks; Mythology; Procession; Religious practice; Religious syncretism; Slavery,https://ich.unesco.org/en/RL/00104
b93c321c-1c91-40b9-95c3-40cc853d5cd7,112,2008,Indonesian Kris,ID,RL,Representative List,Bladed weapons; Craft workers; Metalworking,Aesthetics; Costumes; Handicrafts education; Know-how transfer; Magic; Pattern; Precious metals; Religious belief; Ritual items; Social status; Technical skills; Wood carving,https://ich.unesco.org/en/RL/00112
49327d2b-9070-4375-920d-7d8d0970927e,159,2008,Darangen epic of the Maranao people of Lake Lanao,PH,RL,Representative List,Epic poetry; Vocal music,Cultural elite; Customary law; Emotions; Genealogy; Improvisation; Legends; Life cycle; Mass culture; Memorization; Mythology; Satire; Story telling; Wedding,https://ich.unesco.org/en/RL/00159
