date,countryCode,localName,name,global,types,counties,launchYear
2026-01-01,AD,Any nou,New Year's Day,True,Public,,
2026-01-06,AD,Reis,Epiphany,True,Public,,
2026-02-16,AD,Carnaval,Carnival,True,Public,,
2026-03-14,AD,Dia de la Constitució,Constitution Day,True,Public,,
2026-04-03,AD,Divendres Sant,Good Friday,True,Public,,
2026-04-06,AD,Dilluns de Pasqua,Easter Monday,True,Public,,
2026-05-01,AD,Festa del Treball,Labour Day,True,Public,,
2026-05-25,AD,Dilluns de Pentecosta,Whit Monday,True,Public,,
2026-08-15,AD,Assumpció,Assumption Day,True,Public,,
2026-09-08,AD,Mare de Déu de Meritxell,National Holiday,True,Public,,
2026-11-01,AD,Tots Sants,All Saints' Day,True,Public,,
2026-12-08,AD,Immaculada Concepció,Immaculate Conception,True,Public,,
2026-12-25,AD,Nadal,Christmas Day,True,Public,,
2026-12-26,AD,Sant Esteve,St. Stephen's Day,True,Public,,
2026-01-01,AL,Viti i Ri,New Year's Day,True,Public,,
2026-01-02,AL,Viti i Ri,New Year's Day,True,Public,,
2026-03-16,AL,Dita e Verës,Summer Day,True,Public,,
2026-03-23,AL,Dita e Sulltan Nevruzit,Nowruz,True,Public,,
2026-04-05,AL,Pashkët Katolike,Easter Sunday,True,Public,,
2026-04-06,AL,E hëna e Pashkëve Katolike,Easter Monday,True,Public,,
2026-04-12,AL,Pashkët Ortodokse,Easter Sunday,True,Public,,
2026-04-13,AL,E hëna e Pashkëve Ortodokse,Easter Monday,True,Public,,
2026-05-01,AL,Dita Ndërkombëtare e Punonjësve,May Day,True,Public,,
2026-09-07,AL,Dita e Nënë Terezës,Mother Teresa Day,True,Public,,
2026-11-30,AL,Dita e Pavarësisë,Independence Day,True,Public,,
2026-11-30,AL,Dita e Çlirimit,Liberation Day,True,Public,,
2026-12-08,AL,Dita Kombëtare e Rinisë,Youth Day,True,Public,,
2026-12-25,AL,Krishtlindjet,Christmas Day,True,Public,,
2026-01-01,AM,Ամանոր,New Year's Day,True,Public,,
2026-01-02,AM,Ամանոր,New Year's Day,True,Public,,
2026-01-05,AM,Սուրբ Ծնունդ,Christmas Day,True,Public,,
2026-01-06,AM,Սուրբ Ծնունդ,Christmas Day,True,Public,,
2026-01-28,AM,Բանակի օր,Army Day,True,Public,,
2026-03-08,AM,Կանանց տոն,Women's Day,True,Public,,
2026-04-05,AM,Ամանոր,Easter Sunday,True,Public,,
2026-04-24,AM,Եղեռնի զոհերի հիշատակի օր,Armenian Genocide Remembrance Day,True,Public,,
2026-05-01,AM,Աշխատանքի օր,Labour Day,True,Public,,
2026-05-09,AM,Հաղթանակի և Խաղաղության տոն,Victory and Peace Day,True,Public,,
2026-05-28,AM,Հանրապետության օր,Republic Day,True,Public,,
2026-07-05,AM,Սահմանադրության օր,Constitution Day,True,Public,,
2026-09-21,AM,Անկախության օր,Independence Day,True,Public,,
2026-12-31,AM,Ամանոր,New Year's Eve,True,Public,,
2026-01-01,AR,Año Nuevo,New Year's Day,True,Public,,
2026-02-16,AR,Carnaval,Carnival,True,Public,,
2026-02-17,AR,Carnaval,Carnival,True,Public,,
2026-03-24,AR,Día Nacional de la Memoria por la Verdad y la Justicia,Day of Remembrance for Truth and Justice,True,Public,,
2026-04-02,AR,Día del Veterano y de los Caídos en la Guerra de Malvinas,Day of the Veterans and Fallen of the Malvinas War,True,Public,,
2026-04-03,AR,Viernes Santo,Good Friday,True,Public,,
2026-05-01,AR,Día del Trabajador,Labour Day,True,Public,,
2026-05-25,AR,Día de la Revolución de Mayo,May Revolution,True,Public,,
2026-06-15,AR,Paso a la Inmortalidad del General Martín Miguel de Güemes,Anniversary of the Passing of General Martín Miguel de Güemes,True,Public,,
2026-06-20,AR,Paso a la Inmortalidad del General Manuel Belgrano,General Manuel Belgrano Memorial Day,True,Public,,
2026-07-09,AR,Día de la Independencia,Independence Day,True,Public,,
2026-08-17,AR,Paso a la Inmortalidad del General José de San Martín,General José de San Martín Memorial Day,True,Public,,
2026-10-12,AR,Día del Respeto a la Diversidad Cultural,Day of Respect for Cultural Diversity,True,Public,,
