2026-01-28 19:47:14.662362 - EXEC: 21:30 | NB
2026-01-28 19:58:13.081888 - EXEC: 21:30 | NB
2026-01-28 20:02:02.051138 - EXEC: 10:00 | SW
2026-01-28 20:06:07.676787 - EXEC: 10:00 | SW
2026-01-28 20:10:30.617176 - EXEC: 14:00 | SW
2026-01-28 20:10:37.367444 - EXEC: 14:00 | SW
2026-01-28 20:16:35.527133 - EXEC: 18:30 | SW
2026-01-28 20:16:45.666006 - EXEC: 18:30 | SW
2026-01-28 20:20:38.851719 - EXEC: 20:00 | SW
2026-01-28 20:20:59.093645 - EXEC: 20:00 | SW
2026-01-28 20:23:31.649218 - EXEC: 22:00 | SW
2026-01-28 20:23:38.571345 - EXEC: 22:00 | SW
2026-01-28 21:06:16.463565 - EXEC: 12:00 | YV
